CALENDAR_NR;C_DATE;C_SHIFT;CALENDAR
1038;16.02.2024;2;0
1038;17.02.2024;1;11,98
1038;17.02.2024;2;0
1038;18.02.2024;1;11,98
1038;18.02.2024;2;0
1038;19.02.2024;1;11,98
1038;19.02.2024;2;0
1038;20.02.2024;1;11,98
1038;20.02.2024;2;0
1038;21.02.2024;1;11,98
1038;21.02.2024;2;0
1038;22.02.2024;1;11,98
1038;22.02.2024;2;0
1038;23.02.2024;1;11,98
1038;23.02.2024;2;0
1038;24.02.2024;1;11,98
1038;24.02.2024;2;0
1038;25.02.2024;1;11,98
1038;25.02.2024;2;0
1038;26.02.2024;1;11,98
1038;26.02.2024;2;0
1038;27.02.2024;1;11,98
1038;27.02.2024;2;0
1038;28.02.2024;1;11,98
1038;28.02.2024;2;0
1048;01.11.2023;1;11,98
1048;01.11.2023;2;0
1048;02.11.2023;1;11,98
1048;02.11.2023;2;0
1048;03.11.2023;1;11,98
1048;03.11.2023;2;0
1048;04.11.2023;1;11,98
1048;04.11.2023;2;0
1048;05.11.2023;1;11,98
1048;05.11.2023;2;0
1048;06.11.2023;1;11,98
1048;06.11.2023;2;0
1048;07.11.2023;1;11,98
1048;07.11.2023;2;0
1048;08.11.2023;1;11,98
1048;08.11.2023;2;0
1048;09.11.2023;1;11,98
1048;09.11.2023;2;0
1048;10.11.2023;1;11,98
1048;10.11.2023;2;0
1048;11.11.2023;1;11,98
1048;11.11.2023;2;0
1048;12.11.2023;1;11,98
1048;12.11.2023;2;0
1048;13.11.2023;1;11,98
1048;13.11.2023;2;0
1048;14.11.2023;1;11,98
1048;14.11.2023;2;0
1048;15.11.2023;1;11,98
1048;15.11.2023;2;0
1048;16.11.2023;1;11,98
1048;16.11.2023;2;0
1048;17.11.2023;1;11,98
1048;17.11.2023;2;0
1048;18.11.2023;1;11,98
1048;18.11.2023;2;0
1048;19.11.2023;1;11,98
1048;19.11.2023;2;0
1048;20.11.2023;1;11,98
1048;20.11.2023;2;0
1048;21.11.2023;1;11,98
1048;21.11.2023;2;0
1048;22.11.2023;1;11,98
1048;22.11.2023;2;0
1048;23.11.2023;1;11,98
1048;23.11.2023;2;0
1048;24.11.2023;1;11,98
1048;24.11.2023;2;0
1048;25.11.2023;1;11,98
1048;25.11.2023;2;0
1048;26.11.2023;1;11,98
1048;26.11.2023;2;0
1048;27.11.2023;1;11,98
1048;27.11.2023;2;0
1048;28.11.2023;1;11,98
1048;28.11.2023;2;0
1048;29.11.2023;1;11,98
1048;29.11.2023;2;0
1048;30.11.2023;1;11,98
1048;30.11.2023;2;0
1048;01.12.2023;1;11,98
1048;01.12.2023;2;0
1048;02.12.2023;1;11,98
1048;02.12.2023;2;0
1048;03.12.2023;1;11,98
1048;03.12.2023;2;0
1048;04.12.2023;1;11,98
1048;04.12.2023;2;0
1048;05.12.2023;1;11,98
1048;05.12.2023;2;0
1048;06.12.2023;1;11,98
1048;06.12.2023;2;0
1048;07.12.2023;1;11,98
1048;07.12.2023;2;0
1048;08.12.2023;1;11,98
1048;08.12.2023;2;0
1048;09.12.2023;1;11,98
1048;09.12.2023;2;0
1048;10.12.2023;1;11,98
1048;10.12.2023;2;0
1048;11.12.2023;1;11,98
1048;11.12.2023;2;0
1048;12.12.2023;1;11,98
1048;12.12.2023;2;0
1048;13.12.2023;1;11,98
1048;13.12.2023;2;0
1048;14.12.2023;1;11,98
1048;14.12.2023;2;0
1048;15.12.2023;1;11,98
1048;15.12.2023;2;0
1048;16.12.2023;1;11,98
1048;16.12.2023;2;0
1048;17.12.2023;1;11,98
1048;17.12.2023;2;0
1048;18.12.2023;1;11,98
1048;18.12.2023;2;0
1048;19.12.2023;1;11,98
1048;19.12.2023;2;0
1048;20.12.2023;1;11,98
1048;20.12.2023;2;0
1048;21.12.2023;1;11,98
1048;21.12.2023;2;0
1048;22.12.2023;1;11,98
1048;22.12.2023;2;0
1048;23.12.2023;1;11,98
1048;23.12.2023;2;0
1048;24.12.2023;1;11,98
1048;24.12.2023;2;0
1048;25.12.2023;1;11,98
1048;25.12.2023;2;0
1048;26.12.2023;1;11,98
1048;26.12.2023;2;0
1048;27.12.2023;1;11,98
1048;27.12.2023;2;0
1048;28.12.2023;1;11,98
1048;28.12.2023;2;0
1048;29.12.2023;1;11,98
1048;29.12.2023;2;0
1048;30.12.2023;1;11,98
1048;30.12.2023;2;0
1048;31.12.2023;1;11,98
1048;31.12.2023;2;0
1048;01.01.2024;1;11,98
1048;01.01.2024;2;0
1048;02.01.2024;1;11,98
1048;02.01.2024;2;0
1048;03.01.2024;1;11,98
1048;03.01.2024;2;0
1048;04.01.2024;1;11,98
1048;04.01.2024;2;0
1048;05.01.2024;1;11,98
1048;05.01.2024;2;0
1048;06.01.2024;1;11,98
1048;06.01.2024;2;0
1048;07.01.2024;1;11,98
1048;07.01.2024;2;0
1048;08.01.2024;1;11,98
1048;08.01.2024;2;0
1048;09.01.2024;1;11,98
1048;09.01.2024;2;0
1048;10.01.2024;1;11,98
1048;10.01.2024;2;0
1048;11.01.2024;1;11,98
1048;11.01.2024;2;0
1048;12.01.2024;1;11,98
1048;12.01.2024;2;0
1048;13.01.2024;1;11,98
